ENSDARG00000010075
ENSDARG00000013390
ENSDARG00000014169
ENSDARG00000017795
ENSDARG00000030778
ENSDARG00000031534
ENSDARG00000033280
ENSDARG00000034946
ENSDARG00000037183
ENSDARG00000037190
ENSDARG00000038747
ENSDARG00000039665
ENSDARG00000039935
ENSDARG00000040194
ENSDARG00000040669
ENSDARG00000040928
ENSDARG00000041008
ENSDARG00000054515
ENSDARG00000057582
ENSDARG00000058631
ENSDARG00000059121
ENSDARG00000059786
ENSDARG00000062494
ENSDARG00000069043
ENSDARG00000069408
ENSDARG00000069800
ENSDARG00000069929
ENSDARG00000070429
ENSDARG00000074029
ENSDARG00000076299
ENSDARG00000076333
ENSDARG00000076357
ENSDARG00000077425
ENSDARG00000077945
ENSDARG00000077964
ENSDARG00000079182
ENSDARG00000079942
ENSDARG00000080188
ENSDARG00000080246
ENSDARG00000080253
ENSDARG00000080499
ENSDARG00000080599
ENSDARG00000080708
ENSDARG00000080775
ENSDARG00000080823
ENSDARG00000080833
ENSDARG00000080922
ENSDARG00000080987
ENSDARG00000081399
ENSDARG00000081477
ENSDARG00000081534
ENSDARG00000081779
ENSDARG00000081841
ENSDARG00000082167
ENSDARG00000082311
ENSDARG00000082423
ENSDARG00000082771
ENSDARG00000082930
ENSDARG00000082979
ENSDARG00000083181
ENSDARG00000083326
ENSDARG00000083357
ENSDARG00000083400
ENSDARG00000083487
ENSDARG00000083583
ENSDARG00000083699
ENSDARG00000083738
ENSDARG00000083826
ENSDARG00000083986
ENSDARG00000084399
ENSDARG00000084403
ENSDARG00000084687
ENSDARG00000084991
ENSDARG00000084995
ENSDARG00000085485
ENSDARG00000085521
ENSDARG00000085826
ENSDARG00000086157
ENSDARG00000086252
ENSDARG00000086277
ENSDARG00000086586
ENSDARG00000086708
ENSDARG00000087133
ENSDARG00000087345
ENSDARG00000087523
ENSDARG00000087748
ENSDARG00000088309
ENSDARG00000089201
ENSDARG00000089210
ENSDARG00000089534
ENSDARG00000090347
ENSDARG00000090394
ENSDARG00000090707
ENSDARG00000091230
ENSDARG00000091321
ENSDARG00000092704
ENSDARG00000093712
ENSDARG00000093880
ENSDARG00000094951
ENSDARG00000097397
ENSDARG00000097968
ENSDARG00000098116
ENSDARG00000098308
ENSDARG00000098547
ENSDARG00000098550
ENSDARG00000098596
ENSDARG00000098969
ENSDARG00000099362
ENSDARG00000099438
ENSDARG00000099457
ENSDARG00000099508
ENSDARG00000099763
ENSDARG00000100032
ENSDARG00000100128
ENSDARG00000100140
ENSDARG00000100247
ENSDARG00000100621
ENSDARG00000100824
ENSDARG00000100832
ENSDARG00000100878
ENSDARG00000100929
ENSDARG00000100999
ENSDARG00000101384
ENSDARG00000101582
ENSDARG00000101659
ENSDARG00000101930
ENSDARG00000102117
ENSDARG00000102235
ENSDARG00000102326
ENSDARG00000102654
ENSDARG00000102700
ENSDARG00000102715
ENSDARG00000102718
ENSDARG00000102852
ENSDARG00000102907
ENSDARG00000103162
ENSDARG00000103238
ENSDARG00000103297
ENSDARG00000103401
ENSDARG00000103449
ENSDARG00000103514
ENSDARG00000103641
ENSDARG00000104075
ENSDARG00000104106
ENSDARG00000104176
ENSDARG00000104216
ENSDARG00000104277
ENSDARG00000104308
ENSDARG00000104330
ENSDARG00000104539
ENSDARG00000104877
ENSDARG00000105128
