sample,M1 D,F2 D,F3 D,F1 D,M3 D,M2 D,M1 P,M2 P,F1 P,M3 P,F3 P,F2 P
Label,D,D,D,D,D,D,P,P,P,P,P,P
Uracil ,1.916573739,1.476203235,1.706076994,1.943137953,1.622883512,1.650255617,1.569138211,1.854169534,1.688759594,1.447167469,1.564282493,1.648723
Fumaric Acid ,1.588399631,1.718079346,1.462498908,1.616886979,1.698735098,1.587645676,1.522252894,1.474636568,1.720926639,1.483303258,1.825095698,1.633357576
Maleic Acid ,1.742539604,1.956604699,1.790425673,1.702354243,1.964818314,1.818232865,1.517932525,1.820797492,1.794755278,1.921618885,1.859065562,1.477955718
N-AcetylGlycine ,0.775439556,0.953842242,0.932772405,0.895586734,0.728423524,0.873218071,0.694737042,0.841520895,0.879027061,0.704318483,0.795789319,0.718219877
Guanidinoacetate ,1.480426616,1.642245129,1.54523919,1.52996907,1.63804779,1.580780967,1.30858005,1.39908698,1.409536014,1.466811694,1.327734459,1.3445957
2-Hydroxyisovaleric Acid ,1.485176193,1.612965568,1.516458157,1.593763653,1.569485883,1.55714885,1.608633062,1.452416552,1.53810716,1.509837323,1.678846404,1.61267748
Succinate ,2.715967904,2.648454547,2.666917338,2.693515495,2.57521856,2.561904708,2.376794728,2.429017798,2.511207397,2.539878264,2.546984778,2.540743757
Erythrose ,1.053040236,1.214858701,1.117852786,1.102582672,1.210661363,1.153394553,0.881193781,0.971700643,0.98214967,1.039425321,0.900348174,0.917209401
Benzoic acid ,2.641306798,2.379290134,2.671554231,2.598871307,2.619816076,2.642469731,2.657844592,2.546166999,2.655805339,2.335546104,2.70659521,2.57582418
Nicotinate ,1.447322776,1.460987677,1.490159911,1.488856073,1.399803297,1.608393852,1.552951264,1.512284389,1.465315322,1.265781067,1.494991851,1.368233444
Citraconic Acid ,2.04896259,2.138035701,2.054576363,2.116905587,2.210935857,2.014661115,2.08917082,2.115857138,2.083444724,2.174567872,2.272051885,2.077684923
3-Methyl-2-Oxovaleric Acid ,1.372753873,1.303423122,1.24125586,1.256954745,1.19145101,1.217495176,1.252200225,1.160888963,1.222821294,1.210983344,1.365536489,1.480170946
D-Leucic Acid ,1.565949983,1.658213178,1.636879444,1.619741821,1.602475123,1.569827333,1.581856514,1.403009555,1.573657549,1.504930334,1.730176417,1.609624983
Glutaric Acid ,1.762403381,1.998316231,1.873677397,1.745765691,1.90416181,1.806257638,1.545417908,1.845896307,1.542585,1.80036586,1.790764652,1.749155977
Oxalacetate ,2.710336514,2.460966273,2.773445614,2.654874834,2.730297459,2.828071242,3.127194775,2.979558661,2.851923012,2.917808334,2.913870098,2.881926536
Adenine ,2.118252841,2.368668066,2.320901784,2.04178682,2.133624078,2.158555686,2.436867646,2.017096408,2.098703342,2.254410376,2.110574421,2.138540867
Hypoxanthine ,3.680318573,3.452017644,3.63727054,3.654750166,3.565816219,3.697458247,3.286689162,3.405745871,3.381061968,3.186993825,3.332042304,3.352242025
Anthranilate ,1.994966991,2.156785511,2.059779568,2.044509448,2.152588172,2.095321347,1.823120409,1.91362735,1.924076384,1.981352069,1.842274821,1.859136064
Adipic Acid ,1.953224437,2.027845596,1.996827894,1.9380869,2.010969874,2.017030078,1.819502845,2.012448295,1.834447491,2.165463549,1.939761824,1.906581358
Alpha-Ketoglutaric Acid ,2.010632093,1.855837992,2.023490367,1.984986925,1.892554537,2.013445139,2.241086079,2.23983302,2.203619185,2.098472667,2.279969745,2.295995133
Mevalonate ,0.8960092,1.057827605,0.960821721,0.945551613,1.053630269,0.996363475,0.724162883,0.814669659,0.825118679,0.882394293,0.743317254,0.760178464
2-Hydroxyglutarate ,2.690929137,2.430736818,2.600152603,2.664483402,2.563104821,2.579626103,3.036352094,2.822377884,2.894972749,2.837032222,2.861508779,2.967274478
Oxypurinol ,2.263185833,2.141916255,2.246487696,2.139123189,2.135706721,2.264661712,1.882872198,2.018903494,1.997292364,1.901220214,2.08800158,2.051362536
