zgc:136930,-2.126598967,6.34999999999998e-20,-2.634933333,0.00998945830107527
hsd17b7,-2.304379475,6.08e-16,-2.840466667,0.00132497571428571
hapln1a,-3.556923669,4.52000000000002e-53,-7.948333333,5.54041000000001e-12
myh11b,-3.484529596,0.000531904,-2.1266,0.000148248431372549
vcanb,-2.193773978,1e-21,-3.772466667,2.19371666666667e-07
zgc:172244,-7.377951213,1.49e-10,-5.125333333,6.4663625e-12
hgd,-1.851814264,1.30999999999999e-57,-3.3994,8.4104619047619e-07
vim,-1.722428652,6.28999999999998e-20,-1.9102,0.0273844385470085
capn12,-2.711596686,8.97999999999993e-113,-5.402,6.7342e-12
fgfbp2a,-2.355447956,3.87999999999997e-38,-3.831333333,7.12474137931034e-06
bhmt,-1.926559671,1.21e-63,-2.5958,6.05640714285715e-06
si:ch73-237c6.1,-1.691949496,2.25e-19,-1.445533333,0.00194288472222222
si:dkey-65b12.6,-6.237256389,0,-4.092066667,0.000123077708333333
aldh1a2,-2.953518999,1.79e-17,-2.683266667,0.000336163392857143
aldh1l1,-3.209169882,2.61000000000003e-145,-2.231533333,0.0148188785471698
ccl25b,-3.518023926,1.29000000000001e-68,-1.393066667,0.0303860854206349
agr2,-3.840848213,1.32e-23,-3.229,1.94713611111111e-05
gyg1b,-3.981140402,9.48000000000009e-66,-2.8762,0.00909067092391304
muc5.2,-6.864027421,0,-5.481866667,2.37446142857143e-11
si:dkeyp-93a5.3,-4.301591884,0.002523937,-1.664266667,0.00629600327380952
tgfbi,2.72047192,3.89000000000005e-116,2.097,0.0349381828139535
krt94,3.532828521,2.19999999999998e-40,2.940066667,2.24133222222222e-10
ca2,1.922084502,1.63e-29,1.848666667,5.43514146341464e-05
krt93,4.737533716,9.16000000000003e-22,3.868066667,6.35691395348837e-05
tgm1l4,2.587107053,5.52999999999996e-46,1.361466667,0.00787285721590909
anxa1c,1.743375401,8.29000000000001e-54,1.699866667,1.90802333333333e-09
si:dkey-56e3.2,1.801805513,9.90999999999993e-33,1.468266667,0.026347583887931
